,FCFS,SJF,SRT,RR,HPF,HPFP
Avg turnaround time,,,,,,
1,33.78,10.77,10.55,62.33,32.42,33.24
2,29.77,10.44,10.35,68.9,30.33,30.2
3,26.55,11.26,10.67,55.32,27.31,27.43
4,26.21,13.09,12.74,67.39,26.56,27.62
5,24.75,11.47,10.86,52.53,24.81,24.64
avg,28.21,11.406,11.034,61.294,28.286,28.626
waiting time,,,,,,
1,32.77,9.77,9.55,61.33,31.42,32.24
2,28.77,9.44,9.35,67.9,29.33,29.2
3,25.54,10.26,9.67,54.32,26.31,26.43
4,25.21,12.09,11.74,66.39,25.56,26.62
5,23.75,10.47,9.86,51.53,23.81,23.64
avg,27.208,10.406,10.034,60.294,27.286,27.626
response time,,,,,,
1,27.83,6.38,5.05,9.39,26.48,26.13
2,23.64,5.65,3.68,9.9,24.2,22.7
3,20.90,6.85,4.54,9.15,21.66,19.25
4,20.03,8.14,6.59,8.75,20.38,17.79
5,18.98,6.81,5.81,8.1,19.03,18.48
avg,22.28,6.766,5.134,9.058,22.35,20.87
throughput,,,,,,
1,16,22,22,13,16,16
2,15,18,18,11,15,15
3,16,21,21,14,16,16
4,16,20,20,11,16,16
5,17,21,21,11,17,17
avg,16,20.4,20.4,12,16,16
